Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Vehicle Operations,Vehicle Operations Questionable,Vehicle Maintenance,Vehicle Maintenance Questionable,Facility Maintenance,Facility Maintenance Questionable,General Administration,General Administration Questionable,Reduced Reporter Expenses,Reduced Reporter Expenses Questionable,Total,Total Questionable,Purchased Transportation Reported Separately,Purchased Transportation Reported Separately Questionable
Sullivan County Transportation,Monticello,NY,20937,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,10,DR,Demand Response,PT,4,0,,0,,0,,0,,"27,700",,"27,700",,0,
City of Edmond,Edmond,OK,60118,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,65080,"Oklahoma City, OK","982,276",10,MB,Bus,PT,4,0,,0,,0,,0,,"1,079,976",,"1,079,976",,0,
Texarkana Urban Transit District,Texarkana,TX,60093,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2022,87193,"Texarkana, TX--AR","78,744",10,DR,Demand Response,DO,4,0,,0,,0,,0,,"151,768",,"151,768",,0,
Sullivan County Transportation,Monticello,NY,20937,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,10,MB,Bus,PT,4,0,,0,,0,,0,,"699,195",,"699,195",,0,
"Terrebonne Parish Consolidated Government, dba: Good Earth Transit",Houma,LA,60080,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,40375,"Houma, LA","145,482",10,DR,Demand Response,DO,3,0,,0,,0,,0,,"76,260",,"76,260",,0,
San Benito County LTA,Hollister,CA,91009,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,10,CB,Commuter Bus,PT,3,0,,0,,0,,0,,"670,678",,"670,678",,0,
Middletown Transit District,Middletown,CT,10063,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2022,37243,"Hartford, CT","977,158",10,DR,Demand Response,DO,3,0,,0,,0,,0,,"422,990",,"422,990",,0,
"City of Bullhead, dba: Bullhead Area Transit System",Bullhead City,AZ,91037,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,11431,"Bullhead City, AZ--NV","54,396",10,DR,Demand Response,DO,3,0,,0,,0,,0,,"345,346",,"345,346",,0,
"City of Beloit, dba: Beloit Transit System",Beloit,WI,50109,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,6760,"Beloit, WI--IL","63,073",10,DR,Demand Response,PT,3,0,,0,,0,,0,,"75,483",,"75,483",,0,
"City of Hattiesburg, dba: Hub City Transit",Hattiesburg,MS,40060,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,37594,"Hattiesburg, MS","80,821",10,DR,Demand Response,DO,3,0,,0,,0,,0,,"90,084",,"90,084",,0,
City of Margate,Margate,FL,40256,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,56602,"Miami--Fort Lauderdale, FL","6,077,522",10,MB,Bus,PT,3,0,,0,,0,,0,,"293,263",,"293,263",,0,
"City of Fort Smith, dba: Fort Smith Transit",Fort Smith,AR,60086,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,30925,"Fort Smith, AR--OK","125,811",10,DR,Demand Response,DO,3,0,,0,,0,,0,,"835,377",,"835,377",,0,
City of Edmond,Edmond,OK,60118,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,65080,"Oklahoma City, OK","982,276",10,CB,Commuter Bus,PT,3,0,,0,,0,,0,,"349,424",,"349,424",,0,
Hernando County Board of County Commissioners,Brooksville,FL,40146,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,84024,"Spring Hill, FL","169,050",10,DR,Demand Response,PT,3,0,,0,,0,,0,,"359,148",,"359,148",,0,
City of Edmond,Edmond,OK,60118,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,65080,"Oklahoma City, OK","982,276",10,DR,Demand Response,PT,3,0,,0,,0,,0,,"482,405",,"482,405",,0,
Jefferson Transit,Port Townsend,WA,00316,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,10,DR,Demand Response,DO,3,0,,0,,0,,0,,"824,842",,"824,842",,0,
"City of Lompoc, dba: City of Lompoc - Lompoc Transit",Lompoc,CA,90149,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,51040,"Lompoc, CA","54,287",10,DR,Demand Response,PT,2,0,,0,,0,,0,,"695,446",,"695,446",,0,
San Benito County LTA,Hollister,CA,91009,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,10,MB,Bus,PT,2,0,,0,,0,,0,,"114,268",,"114,268",,0,
"City of Terre Haute , dba: Terre Haute Transit Utility",Terre Haute,IN,50053,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,87139,"Terre Haute, IN","79,862",10,DR,Demand Response,DO,2,"320,515",,"50,561",,"28,761",,"31,055",,0,,"430,892",,0,
City of Rock Hill,Rock Hill,SC,40270,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,75745,"Rock Hill, SC","218,443",10,DR,Demand Response,DO,2,0,,0,,0,,0,,"58,672",,"58,672",,0,
Sullivan County Transportation,Monticello,NY,20937,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,10,MB,Bus,DO,2,0,,0,,0,,0,,"54,885",,"54,885",,0,
Big Sky Transportation District,Big Sky,MT,80255,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,10,DR,Demand Response,PT,2,0,,0,,0,,0,,"56,535",,"56,535",,0,
Lyon County Area Transportation,Emporia,KS,70248,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,10,MB,Bus,DO,2,0,,0,,0,,0,,"239,320",,"239,320",,0,
Pulaski Area Transit,Pulaski,VA,30115,Private-Non-Profit Corporation,Rural Reporter,2022,,,,10,DR,Demand Response,DO,1,0,,0,,0,,0,,"58,958",,"58,958",,0,
City of Bell,Bell,CA,90252,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",10,DR,Demand Response,PT,1,0,,0,,0,,0,,"133,719",,"133,719",,0,
Harney County,Burns,OR,00374,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,10,MB,Bus,PT,1,0,,0,,0,,0,,"249,150",,"249,150",,0,
City of Bell,Bell,CA,90252,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",10,MB,Bus,PT,1,0,,0,,0,,0,,"204,526",,"204,526",,0,
Northeastern Connecticut Transit District,Dayville,CT,10156,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,10,DR,Demand Response,DO,1,0,,0,,0,,0,,"64,302",,"64,302",,0,
Moore County,Carthage,NC,41064,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,69517,"Pinehurst--Southern Pines, NC","50,319",10,MB,Bus,DO,0,0,,0,,0,,0,,0,,0,,0,
Morrow County,Heppner,OR,00409,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,"380,242",,"380,242",,0,
TransIV Buses - College of Southern Idaho,Twin Falls,ID,00357,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,89245,"Twin Falls, ID","58,808",9,DR,Demand Response,DO,9,0,,0,,0,,0,,"382,811",,"382,811",,0,
Greene County,Catskill,NY,20931,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,9,MB,Bus,PT,9,0,,0,,0,,0,,"912,376",,"912,376",,0,
Santa Barbara County Association of Governments,Santa Barbara,CA,90303,"MPO, COG or Other Planning Agency",Reduced Reporter,2022,79282,"Santa Barbara, CA","202,197",9,CB,Commuter Bus,PT,9,0,,0,,0,,0,,"2,073,978",,"2,073,978",,0,
Churchill Area Regional Transit,Fallon,NV,91103,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,"384,959",,"384,959",,0,
"The Canon City Golden Age Council, Inc",Canon City,CO,80274,Private-Non-Profit Corporation,Rural Reporter,2022,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,"304,931",,"304,931",,0,
Oneida Tribe of Indians of Wisconsin,Green Bay,WI,55276,Tribe,Reduced Reporter,2022,55,Wisconsin Non-UZA,"2,782,206",9,DR,Demand Response,DO,9,0,,0,,0,,0,,"1,478,732",,"1,478,732",,0,
Warren County,Monmouth,IL,50283,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,"636,865",,"636,865",,0,
Vernon Council on Aging,Leesville,LA,60263,Area Agency on Aging,Rural Reporter,2022,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,"361,675",,"361,675",,0,
"Salt River Pima-Maricopa Indian Community, dba: Salt River Transit",Scottsdale,AZ,99376,Tribe,Reduced Reporter,2022,4,Arizona Non-UZA,"1,296,856",9,DR,Demand Response,DO,9,0,,0,,0,,0,,"805,274",,"805,274",,0,
Champaign Transit System,Urbana,OH,50284,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,"573,978",,"573,978",,0,
Nye County Senior Nutrition,Tonopah,NV,91029,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,"131,345",,"131,345",,0,
City of San Juan,San Juan,PR,40112,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,79093,"San Juan, PR","1,844,410",9,MB,Bus,DO,9,0,,0,,0,,0,,"736,394",,"736,394",,0,
"LaGrange County Council on Aging , dba: LaGrange County Area Transit",Lagrange,IN,50305,Private-Non-Profit Corporation,Rural Reporter,2022,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,"982,640",,"982,640",,0,
Boise State University,Boise,ID,00416,University,Reduced Reporter,2022,8785,"Boise City, ID","433,180",9,MB,Bus,DO,9,0,,0,,0,,0,,"560,714",,"560,714",,0,
American Samoa Government Dept. of Public Works,Pago Pago,AS,99434,State Government Unit or Department of Transportation,Rural Reporter,2022,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,"1,005,200",,"1,005,200",,0,
Madison County Commission,Huntsville,AL,40963,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,"414,389",,"414,389",,0,
Rosebud Sioux Tribe,Rosebud,SD,88182,Tribe,Reduced Reporter,2022,46,South Dakota Non-UZA,"599,629",9,DR,Demand Response,DO,9,0,,0,,0,,0,,"843,106",,"843,106",,0,
City of Jacksonville,Jacksonville,NC,40166,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,42400,"Jacksonville, NC","111,224",9,MB,Bus,PT,9,0,,0,,0,,0,,"1,383,010",,"1,383,010",,0,
Graham County,Robbinsville,NC,40913,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,"691,813",,"691,813",,0,
City of Monroe,Monroe,WI,50235,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,9,DR,Demand Response,PT,9,0,,0,,0,,0,,"462,419",,"462,419",,0,
Richland County,Sidney,MT,80259,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,"308,742",,"308,742",,0,
"City of Owensboro, dba: Owensboro Transit Systems",Owensboro,KY,40020,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,66484,"Owensboro, KY","76,433",9,MB,Bus,DO,9,0,,0,,0,,0,,"3,180,676",,"3,180,676",,0,
Noxubee County Human Resource Agency,Macon,MS,44948,Other Publicly-Owned or Privately Chartered Corporation,Rural Reporter,2022,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,"329,444",,"329,444",,0,
"Lincoln County Transportation Service, Inc.",Libby,MT,80172,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,"257,404",,"257,404",,0,
Duplin County,Kenansville,NC,40915,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,"832,592",,"832,592",,0,
"Crowley's Ridge Development Council, Inc. (NEAT), dba: North East Arkansas Transit",Jonesboro,AR,60204,Private-Non-Profit Corporation,Rural Reporter,2022,43345,"Jonesboro, AR","73,781",9,DR,Demand Response,DO,9,0,,0,,0,,0,,"227,942",,"227,942",,0,
Allen Council on Aging,Oberlin,LA,60249,Area Agency on Aging,Rural Reporter,2022,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,"300,703",,"300,703",,0,
"Fayette County Council Agency on Aging and Aged, dba: Fayette County Public Transit",Connersville,IN,50399,Area Agency on Aging,Rural Reporter,2022,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,"496,156",,"496,156",,0,
City of Maple Grove,Maple Grove,MN,50517,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,57628,"Minneapolis--St. Paul, MN","2,914,866",9,DR,Demand Response,PT,9,"820,630",,"24,700",,"7,657",,"511,782",,0,,"1,364,769",,0,
"Cardinal Services , dba: Kosciusko Area Bus Service",Warsaw,IN,50289,Private-Non-Profit Corporation,Rural Reporter,2022,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,"688,204",,"688,204",,0,
Woodford County,Eureka,IL,50329,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,"487,881",,"487,881",,0,
Copiah County Human Resource Agency,Hazlehurst,MS,40987,Private-Non-Profit Corporation,Rural Reporter,2022,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,"416,744",,"416,744",,0,
"Marshall County Council on Aging , dba: Marshall County Rural Transit",Plymouth,IN,50246,Private-Non-Profit Corporation,Rural Reporter,2022,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,"450,306",,"450,306",,0,
Richmond Interagency Transportation Inc.,Hamlet,NC,41124,Private-Non-Profit Corporation,Rural Reporter,2022,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,"739,137",,"739,137",,0,
"City of Onalaska, dba: Onalaska Shared Ride Taxi City of Onalaska",Onalaska,WI,50152,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,45910,"La Crosse, WI--MN","98,872",9,DR,Demand Response,PT,9,0,,0,,0,,0,,"979,748",,"979,748",,0,
Kaibab Band of Paiute Indians,Fredonia,AZ,99340,Tribe,Reduced Reporter,2022,4,Arizona Non-UZA,"1,296,856",9,DR,Demand Response,DO,9,0,,0,,0,,0,,"204,474",,"204,474",,0,
Calcasieu Office of Community Services,Lake Charles,LA,60198,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,"853,744",,"853,744",,0,
Class LTD,Columbus,KS,70226,Private-Non-Profit Corporation,Rural Reporter,2022,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,"319,917",,"319,917",,0,
Coshocton County Coordinated Transportation Agency,Coshocton,OH,55469,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,"882,809",,"882,809",,0,
Mitchell County Transportation Authority,Bakersville,NC,41043,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,9,DR,Demand Response,DO,8,0,,0,,0,,0,,"717,396",,"717,396",,0,
City of Alexandria,Alexandria,LA,60025,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,1279,"Alexandria, LA","78,305",9,MB,Bus,DO,8,0,,0,,0,,0,,"1,905,037",,"1,905,037",,0,
Door County,Sturgeon Bay,WI,50366,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,9,DR,Demand Response,TX,8,0,,0,,0,,0,,"835,470",,"835,470",,0,
Teller Senior Coalition,Divide,CO,88230,Private-Non-Profit Corporation,Rural Reporter,2022,,,,9,DR,Demand Response,DO,8,0,,0,,0,,0,,"460,238",,"460,238",,0,
City of Inglewood,Inglewood,CA,90268,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",9,DR,Demand Response,DO,8,0,,0,,0,,0,,"887,820",,"887,820",,0,
Columbia County Public Transportation,Dayton,WA,00383,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,9,DR,Demand Response,DO,7,0,,0,,0,,0,,"1,532,082",,"1,532,082",,0,
"Center for Pan Asian Community Services, Inc.",Atlanta,GA,40246,Private-Non-Profit Corporation,Reduced Reporter,2022,3817,"Atlanta, GA","5,100,112",9,DR,Demand Response,DO,7,0,,0,,0,,0,,"393,458",,"393,458",,0,
"City of Ocala, Florida, dba: SunTran",Ocala,FL,40120,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,64567,"Ocala, FL","182,647",9,MB,Bus,PT,7,0,,0,,0,,0,,"3,219,336",,"3,219,336",,0,
Malheur Council on Aging and Community Services,Ontario,OR,00323,Private-Non-Profit Corporation,Rural Reporter,2022,,,,9,DR,Demand Response,DO,7,0,,0,,0,,0,,"462,180",,"462,180",,0,
Lake County Council on Aging,Ronan,MT,80184,Private-Non-Profit Corporation,Rural Reporter,2022,,,,9,DR,Demand Response,DO,7,0,,0,,0,,0,,"88,112",,"88,112",,0,
Fort Peck Tribes,Wolf Point,MT,80018,Tribe,Reduced Reporter,2022,30,Montana Non-UZA,"688,772",9,DR,Demand Response,DO,7,0,,0,,0,,0,,"345,635",,"345,635",,0,
Municipality of San Lorenzo,San Lorenzo,PR,40195,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,79093,"San Juan, PR","1,844,410",9,MB,Bus,DO,7,0,,0,,0,,0,,"358,572",,"358,572",,0,
Lewiston-Auburn Transit Committee,Auburn,ME,10015,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,49339,"Lewiston, ME","60,743",9,MB,Bus,PT,7,0,,0,,0,,0,,"2,044,573",,"2,044,573",,0,
"City of Richmond, dba: RoseView Transit",Richmond,IN,50249,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,9,MB,Bus,DO,6,0,,0,,0,,0,,"1,145,437",,"1,145,437",,0,
Faribault-Martin Counties Joint Powers,Fairmont,MN,55320,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,9,DR,Demand Response,DO,6,0,,0,,0,,0,,"858,208",,"858,208",,0,
"City of Loveland, Colorado, dba: City of Loveland Transit",Loveland,CO,80025,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,30628,"Fort Collins, CO","326,332",9,MB,Bus,DO,6,"1,672,097",,"207,704",,"102,914",,"293,515",,0,,"2,276,230",,0,
City of Cottonwood,Cottonwood,AZ,91010,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,9,MB,Bus,DO,6,0,,0,,0,,0,,"1,925,222",,"1,925,222",,0,
"City of Gastonia, dba: Gastonia Transit",Gastonia,NC,40010,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,32653,"Gastonia, NC","176,897",9,MB,Bus,DO,6,0,,0,,0,,0,,"1,951,435",,"1,951,435",,0,
"City of Eureka , dba: Eureka Transit Service",Eureka,CA,91093,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,9,DR,Demand Response,PT,5,0,,0,,0,,0,,"720,429",,"720,429",,0,
"City of Columbus, dba: ColumBus Transit",Columbus,IN,50177,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,19126,"Columbus, IN","60,982",9,MB,Bus,DO,5,0,,0,,0,,0,,"1,875,271",,"1,875,271",,0,
Mid-Columbia Economic Development District,The Dalles,OR,00396,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,9,MB,Bus,DO,5,0,,0,,0,,0,,"515,533",,"515,533",,0,
Selkirks-Pend Oreille Transit Authority (SPOT),Dover,ID,00341,Private-Non-Profit Corporation,Rural Reporter,2022,,,,9,MB,Bus,DO,5,0,,0,,0,,0,,"691,336",,"691,336",,0,
"City of Columbus, dba: ColumBus Transit",Columbus,IN,50177,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,19126,"Columbus, IN","60,982",9,DR,Demand Response,DO,4,0,,0,,0,,0,,"429,960",,"429,960",,0,
"City of Eureka , dba: Eureka Transit Service",Eureka,CA,91093,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,9,MB,Bus,PT,4,0,,0,,0,,0,,"1,554,424",,"1,554,424",,0,
Mid-Columbia Economic Development District,The Dalles,OR,00396,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,9,DR,Demand Response,DO,4,0,,0,,0,,0,,"691,654",,"691,654",,0,
Municipality of Dorado,Dorado,PR,40198,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,79093,"San Juan, PR","1,844,410",9,MB,Bus,PT,4,0,,0,,0,,0,,"570,395",,"570,395",,0,
Selkirks-Pend Oreille Transit Authority (SPOT),Dover,ID,00341,Private-Non-Profit Corporation,Rural Reporter,2022,,,,9,DR,Demand Response,DO,4,0,,0,,0,,0,,"204,194",,"204,194",,0,
City of Conroe,Conroe,TX,60129,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,87300,"The Woodlands--Conroe, TX","402,454",9,MB,Bus,PT,4,0,,0,,0,,0,,"1,456,809",,"1,456,809",,0,
"City of Richmond, dba: RoseView Transit",Richmond,IN,50249,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,9,DR,Demand Response,DO,3,0,,0,,0,,0,,"122,849",,"122,849",,0,
Municipality of Dorado,Dorado,PR,40198,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,79093,"San Juan, PR","1,844,410",9,DR,Demand Response,DO,3,0,,0,,0,,0,,"65,751",,"65,751",,0,
"City of Loveland, Colorado, dba: City of Loveland Transit",Loveland,CO,80025,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,30628,"Fort Collins, CO","326,332",9,DR,Demand Response,TX,3,"248,586",,"102,390",,"7,506",,"111,534",,0,,"470,016",,0,
Faribault-Martin Counties Joint Powers,Fairmont,MN,55320,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,9,MB,Bus,DO,3,0,,0,,0,,0,,"327,788",,"327,788",,0,
City of Cottonwood,Cottonwood,AZ,91010,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,9,DR,Demand Response,DO,3,0,,0,,0,,0,,"247,759",,"247,759",,0,
Pulaski County Transit,Hawkinsville,GA,40925,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,2,DR,Demand Response,DO,0,0,,0,,0,,0,,0,,0,,0,
City of Conroe,Conroe,TX,60129,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,87300,"The Woodlands--Conroe, TX","402,454",9,DR,Demand Response,PT,3,0,,0,,0,,0,,"496,994",,"496,994",,0,
"City of Gastonia, dba: Gastonia Transit",Gastonia,NC,40010,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,32653,"Gastonia, NC","176,897",9,DR,Demand Response,DO,3,0,,0,,0,,0,,"266,662",,"266,662",,0,
Columbia County Public Transportation,Dayton,WA,00383,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,9,VP,Vanpool,DO,2,0,,0,,0,,0,,"12,436",,"12,436",,0,
"Center for Pan Asian Community Services, Inc.",Atlanta,GA,40246,Private-Non-Profit Corporation,Reduced Reporter,2022,3817,"Atlanta, GA","5,100,112",9,MB,Bus,DO,2,0,,0,,0,,0,,"15,388",,"15,388",,0,
Municipality of Dorado,Dorado,PR,40198,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,79093,"San Juan, PR","1,844,410",9,MB,Bus,DO,2,0,,0,,0,,0,,"82,547",,"82,547",,0,
"City of Ocala, Florida, dba: SunTran",Ocala,FL,40120,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,64567,"Ocala, FL","182,647",9,DR,Demand Response,PT,2,0,,0,,0,,0,,"326,302",,"326,302",,0,
City of Conroe,Conroe,TX,60129,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,87300,"The Woodlands--Conroe, TX","402,454",9,CB,Commuter Bus,PT,2,0,,0,,0,,0,,"1,006,333",,"1,006,333",,0,
Municipality of San Lorenzo,San Lorenzo,PR,40195,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,79093,"San Juan, PR","1,844,410",9,DR,Demand Response,DO,2,0,,0,,0,,0,,"44,788",,"44,788",,0,
Lewiston-Auburn Transit Committee,Auburn,ME,10015,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,49339,"Lewiston, ME","60,743",9,DR,Demand Response,PT,2,0,,0,,0,,0,,"189,485",,"189,485",,0,
Lake County Council on Aging,Ronan,MT,80184,Private-Non-Profit Corporation,Rural Reporter,2022,,,,9,DR,Demand Response,PT,2,0,,0,,0,,0,,"26,651",,"26,651",,0,
Fort Peck Tribes,Wolf Point,MT,80018,Tribe,Reduced Reporter,2022,30,Montana Non-UZA,"688,772",9,MB,Bus,DO,2,0,,0,,0,,0,,"230,423",,"230,423",,0,
City of Alexandria,Alexandria,LA,60025,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,1279,"Alexandria, LA","78,305",9,DR,Demand Response,DO,1,0,,0,,0,,0,,"635,013",,"635,013",,0,
Door County,Sturgeon Bay,WI,50366,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,9,DR,Demand Response,DO,1,0,,0,,0,,0,,"138,548",,"138,548",,0,
Mitchell County Transportation Authority,Bakersville,NC,41043,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,9,MB,Bus,DO,1,0,,0,,0,,0,,"49,551",,"49,551",,0,
Malheur Council on Aging and Community Services,Ontario,OR,00323,Private-Non-Profit Corporation,Rural Reporter,2022,,,,9,CB,Commuter Bus,DO,1,0,,0,,0,,0,,"95,550",,"95,550",,0,
Teller Senior Coalition,Divide,CO,88230,Private-Non-Profit Corporation,Rural Reporter,2022,,,,9,MB,Bus,DO,1,0,,0,,0,,0,,"10,591",,"10,591",,0,
City of Inglewood,Inglewood,CA,90268,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",9,MB,Bus,DO,1,0,,0,,0,,0,,"17,425",,"17,425",,0,
Malheur Council on Aging and Community Services,Ontario,OR,00323,Private-Non-Profit Corporation,Rural Reporter,2022,,,,9,MB,Bus,DO,1,0,,0,,0,,0,,"172,530",,"172,530",,0,
City of Jacksonville,Jacksonville,NC,40166,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,42400,"Jacksonville, NC","111,224",9,DR,Demand Response,PT,0,0,,0,,0,,0,,0,,0,,0,
City of Maple Grove,Maple Grove,MN,50517,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,57628,"Minneapolis--St. Paul, MN","2,914,866",9,MB,Bus,PT,0,0,,0,,"21,726",,"429,760",,0,,"451,486",,"1,562,282",
Blackstone Area Bus Service,Blackstone,VA,30184,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,MB,Bus,DO,8,0,,0,,0,,0,,"562,568",,"562,568",,0,
City of North Platte,North Platte,NE,70153,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"771,406",,"771,406",,0,
